epoch,split,loss,contrast,tda,L_sb,L_st,L_bt,r1_seq2bio,r1_bio2seq,r5_seq2bio,r5_bio2seq,r10_seq2bio,r10_bio2seq,r1_seq2bio_multi,r1_bio2seq_multi,r5_seq2bio_multi,r5_bio2seq_multi,r10_seq2bio_multi,r10_bio2seq_multi
8,train,6014.020703125,4.8462646484375,6009.173828125,4.846263885498047,0.0,0.0,,,,,,,,,,,,
8,val,3.9104442596435547,3.9104442596435547,0.0,3.910443878173828,0.0,0.0,0.025999999046325682,0.04199999868869782,0.12799999713897706,0.1440000057220459,0.24800000190734864,0.27200000286102294,0.04399999976158142,0.04200000166893005,0.15600000619888305,0.1559999942779541,0.2740000009536743,0.2879999876022339
9,train,941.77138671875,4.846139526367187,936.92529296875,4.846139144897461,0.0,0.0,,,,,,,,,,,,
9,val,3.9101932525634764,3.9101932525634764,0.0,3.9101932525634764,0.0,0.0,0.023999996483325958,0.04199999868869782,0.12200000286102294,0.1440000057220459,0.24800000190734864,0.2740000009536743,0.03800000250339508,0.04399999976158142,0.15399999618530275,0.15400000810623168,0.27200000286102294,0.2879999876022339
10,train,15.628396606445312,4.845532989501953,10.782864379882813,4.845532989501953,0.0,0.0,,,,,,,,,,,,
10,val,3.9096916198730467,3.9096916198730467,0.0,3.9096916198730467,0.0,0.0,0.02399999797344208,0.04000000059604645,0.11999999284744263,0.1459999918937683,0.24399998188018798,0.2879999876022339,0.031999999284744264,0.04199999868869782,0.15199999809265136,0.1559999942779541,0.27200000286102294,0.30799996852874756
11,train,8.379550170898437,4.845187759399414,3.5343624114990235,4.845187759399414,0.0,0.0,,,,,,,,,,,,
11,val,3.9092117309570313,3.9092117309570313,0.0,3.909212112426758,0.0,0.0,0.03799999952316284,0.047999992966651917,0.12799999713897706,0.15400000810623168,0.25,0.2859999895095825,0.05,0.04799999594688416,0.16200000047683716,0.16200001239776612,0.27599999904632566,0.3019999980926514
12,train,17.891055297851562,4.844657897949219,13.04639892578125,4.844657897949219,0.0,0.0,,,,,,,,,,,,
12,val,3.9086193084716796,3.9086193084716796,0.0,3.908618927001953,0.0,0.0,0.023999999463558196,0.03999999761581421,0.14399999380111694,0.1459999918937683,0.2559999942779541,0.2879999876022339,0.03800000250339508,0.04199999868869782,0.17400001287460326,0.15399999618530275,0.28399999141693116,0.3039999961853027
13,train,5654.140234375,4.844033813476562,5649.29609375,4.844034194946289,0.0,0.0,,,,,,,,,,,,
13,val,3.9080268859863283,3.9080268859863283,0.0,3.9080268859863283,0.0,0.0,0.031999999284744264,0.04999999403953552,0.1459999918937683,0.17000000476837157,0.24800000190734864,0.29200000762939454,0.051999998092651364,0.05199999213218689,0.17799999713897705,0.178000009059906,0.2819999933242798,0.3059999942779541
14,train,10016.98203125,4.843614196777343,10012.13828125,4.843614196777343,0.0,0.0,,,,,,,,,,,,
14,val,3.9075855255126952,3.9075855255126952,0.0,3.9075855255126952,0.0,0.0,0.03400000035762787,0.04399999678134918,0.13599998950958253,0.15399999618530275,0.2519999980926514,0.2999999761581421,0.05,0.04399999678134918,0.16399999856948852,0.16399999856948852,0.2859999895095825,0.31600003242492675
15,train,6427.744921875,4.842910385131836,6422.90234375,4.842910385131836,0.0,0.0,,,,,,,,,,,,
