epoch,split,loss,contrast,tda,L_sb,L_st,L_bt,r1_seq2bio,r1_bio2seq,r5_seq2bio,r5_bio2seq,r10_seq2bio,r10_bio2seq,r1_seq2bio_multi,r1_bio2seq_multi,r5_seq2bio_multi,r5_bio2seq_multi,r10_seq2bio_multi,r10_bio2seq_multi
28,val,3.931534085954939,3.931534085954939,0.0,3.931534085954939,0.0,0.0,0.08134921107973371,0.07738094670431954,0.20833333900996617,0.22619046483721053,0.31150797435215544,0.3769841194152832,0.08134921107973371,0.0773809552192688,0.20833332198006765,0.22619048186710902,0.3115079402923584,0.3769841194152832
29,train,4.298425226263661,4.298425226263661,0.0,4.298425226263661,0.0,0.0,,,,,,,,,,,,
29,val,3.909438269478934,3.909438269478934,0.0,3.909437997000558,0.0,0.0,0.091269850730896,0.08333333049501691,0.20833332198006765,0.22420634542192733,0.3353174754551479,0.375,0.09126984221594674,0.08333333900996617,0.20833332198006765,0.22420636245182582,0.3353174754551479,0.375
30,train,4.290916520296643,4.290916520296643,0.0,4.290916901468579,0.0,0.0,,,,,,,,,,,,
30,val,3.9103731427873885,3.9103731427873885,0.0,3.910372870309012,0.0,0.0,0.07936508314950126,0.0694444477558136,0.20238096373421804,0.24206347124917166,0.3134920597076416,0.3710317611694336,0.07936508314950126,0.06944444349833898,0.20238096373421804,0.24206348827907018,0.3134920597076416,0.37103172710963656
31,train,4.285973863802694,4.285973863802694,0.0,4.285973863802694,0.0,0.0,,,,,,,,,,,,
31,val,3.9139066423688615,3.9139066423688615,0.0,3.9139066423688615,0.0,0.0,0.08928571428571429,0.07539682728903634,0.21428571428571427,0.24206348827907018,0.32738092967442106,0.36507936886378695,0.08928571428571429,0.07539682728903634,0.21428571428571427,0.24206347124917166,0.32738096373421804,0.36507936886378695
32,train,4.278567693086456,4.278567693086456,0.0,4.278568074258392,0.0,0.0,,,,,,,,,,,,
32,val,3.9048475537981306,3.9048475537981306,0.0,3.9048472813197543,0.0,0.0,0.08730159487043108,0.07936508314950126,0.22619046483721053,0.23412699358803885,0.3551587036677769,0.3710317611694336,0.08730158635548182,0.07936508314950126,0.22619046483721053,0.23412699358803885,0.3551587036677769,0.37103172710963656
33,train,4.273347162251171,4.273347162251171,0.0,4.273347162251171,0.0,0.0,,,,,,,,,,,,
33,val,3.905288968767439,3.905288968767439,0.0,3.9052892412458147,0.0,0.0,0.08928571428571429,0.07936508314950126,0.22619048186710902,0.24206348827907018,0.32539681025913786,0.3690476417541504,0.08928571428571429,0.07936508314950126,0.22619046483721053,0.24206348827907018,0.32539681025913786,0.3690476417541504
34,train,4.268580607191647,4.268580607191647,0.0,4.268580607191647,0.0,0.0,,,,,,,,,,,,
34,val,3.8988088880266463,3.8988088880266463,0.0,3.8988088880266463,0.0,0.0,0.0932539701461792,0.07936508314950126,0.22420636245182582,0.2480158805847168,0.33134920256478445,0.36309521538870676,0.0932539701461792,0.07936508314950126,0.22420634542192733,0.2480158805847168,0.3313492366245815,0.36309524944850374
35,train,4.263267070403981,4.263267070403981,0.0,4.263266689232045,0.0,0.0,,,,,,,,,,,,
35,val,3.897341319492885,3.897341319492885,0.0,3.897341319492885,0.0,0.0,0.08531745842524938,0.07341269935880389,0.23412697655814035,0.23214285714285715,0.32936504908970426,0.36309524944850374,0.08531746694019862,0.07341270787375313,0.23412697655814035,0.23214285714285715,0.32936508314950125,0.36309521538870676
36,train,4.259251042886417,4.259251042886417,0.0,4.259250661714481,0.0,0.0,,,,,,,,,,,,
36,val,3.9027587345668246,3.9027587345668246,0.0,3.902759007045201,0.0,0.0,0.08928572280066353,0.08730159487043108,0.2242063283920288,0.24206350530896867,0.33531744139535086,0.36706348827907015,0.08928571428571429,0.08730159487043108,0.22420634542192733,0.24206348827907018,0.3353174754551479,0.36706348827907015
37,train,4.252683450429352,4.252683450429352,0.0,4.252683450429352,0.0,0.0,,,,,,,,,,,,
